SITE,year,month,monthly_mean
AHND,2017,Dec,15.3
AHND,2018,Jan,15
AHND,2018,Feb,13.989
AHND,2018,Mar,12.797
AHND,2018,Apr,12.112
AHND,2018,May,12.836
AHND,2018,Jun,15.869
AHND,2018,Jul,17.597
AHND,2018,Aug,19.235
AHND,2018,Sep,17.958
AHND,2018,Oct,18.154
AHND,2018,Nov,17.818
AHND,2018,Dec,15.376
AHND,2019,Jan,15.068
AHND,2019,Feb,13.905
AHND,2019,Mar,13.123
AHND,2019,Apr,12.976
AHND,2019,May,12.928
AHND,2019,Jun,15.22
AHND,2019,Jul,16.372
AHND,2019,Aug,16.756
AHND,2019,Sep,17.541
AHND,2019,Oct,16.668
AHND,2019,Nov,16.554
AHND,2019,Dec,14.971
AHND,2020,Jan,14.979
AHND,2020,Feb,14.858
AHND,2020,Mar,14.745
AHND,2020,Apr,14.134
AHND,2020,May,13.602
AHND,2020,Jun,15.171
AHND,2020,Jul,15.892
AHND,2021,Jan,13.379
AHND,2021,Feb,12.514
AHND,2021,Mar,11.544
AHND,2021,Apr,12.285
AHND,2021,May,13.631
AHND,2021,Jun,15.178
AHND,2021,Jul,17.071
AQUE,2003,Mar,12.605
AQUE,2003,Apr,11.301
AQUE,2003,May,12.327
AQUE,2003,Jun,14.616
AQUE,2003,Aug,15.042
AQUE,2003,Sep,16.109
AQUE,2003,Oct,16.466
AQUE,2003,Nov,15.61
AQUE,2003,Dec,13.95
AQUE,2004,Jan,13.35
AQUE,2004,Feb,12.801
AQUE,2004,Mar,13.517
AQUE,2004,Apr,13.363
AQUE,2004,May,13.386
AQUE,2004,Jun,15.069
AQUE,2004,Jul,15.68
AQUE,2004,Aug,16.427
AQUE,2004,Sep,17.698
AQUE,2004,Oct,17.387
AQUE,2004,Nov,16.155
AQUE,2004,Dec,14.913
AQUE,2005,Jan,14.751
AQUE,2005,Feb,14.666
AQUE,2005,Mar,14.021
AQUE,2005,Apr,11.98
AQUE,2005,May,12.674
AQUE,2005,Jun,13.423
AQUE,2005,Jul,15.661
AQUE,2005,Aug,17.081
AQUE,2005,Sep,15.766
AQUE,2005,Oct,14.919
AQUE,2005,Nov,15.642
AQUE,2005,Dec,14.671
AQUE,2006,Jan,13.265
AQUE,2006,Feb,13.227
AQUE,2006,Mar,11.58
AQUE,2006,Apr,12.165
AQUE,2006,May,13.589
AQUE,2006,Jun,14.783
AQUE,2006,Jul,16.148
AQUE,2006,Aug,17.401
AQUE,2006,Sep,16.625
AQUE,2006,Oct,16.76
AQUE,2006,Nov,16.335
AQUE,2006,Dec,14.877
AQUE,2007,Jan,13.418
AQUE,2007,Feb,13.687
AQUE,2007,Mar,12.678
AQUE,2007,Apr,12.462
AQUE,2007,May,12.655
AQUE,2007,Jun,15.036
AQUE,2007,Jul,17.027
AQUE,2007,Aug,16.655
AQUE,2007,Sep,15.812
AQUE,2007,Oct,13.888
AQUE,2007,Nov,14.389
AQUE,2007,Dec,13.085
AQUE,2008,Jan,12.965
AQUE,2008,Feb,12.602
AQUE,2008,Mar,12.026
AQUE,2008,Apr,11.395
AQUE,2008,May,12.667
AQUE,2008,Jun,14.465
AQUE,2008,Jul,16.637
AQUE,2008,Aug,18.341
AQUE,2008,Sep,17.226
AQUE,2008,Oct,15.548
AQUE,2008,Nov,15.139
AQUE,2008,Dec,14.217
AQUE,2009,Jan,13.522
AQUE,2009,Feb,13.084
AQUE,2009,Mar,13.076
AQUE,2009,Apr,12.242
AQUE,2009,May,13.298
AQUE,2009,Jun,15.009
AQUE,2009,Jul,15.602
AQUE,2009,Aug,15.583
AQUE,2009,Sep,17.93
AQUE,2009,Oct,16.858
AQUE,2009,Nov,15.885
AQUE,2009,Dec,14.393
AQUE,2010,Jan,14.653
AQUE,2010,Feb,14.4
AQUE,2010,Mar,12.684
AQUE,2010,Apr,12.604
AQUE,2010,May,11.527
AQUE,2010,Jun,15.164
AQUE,2010,Jul,14.929
AQUE,2010,Aug,14.293
AQUE,2010,Sep,14.524
AQUE,2010,Oct,15.597
AQUE,2010,Nov,14.127
AQUE,2010,Dec,13.009
AQUE,2011,Jan,12.998
AQUE,2011,Feb,13.338
AQUE,2011,Mar,11.467
AQUE,2011,Apr,11.863
AQUE,2011,May,11.852
AQUE,2011,Jun,13.89
AQUE,2011,Jul,16.43
AQUE,2011,Aug,16.286
AQUE,2011,Sep,15.74
AQUE,2011,Oct,15.27
AQUE,2011,Nov,14.623
AQUE,2011,Dec,14.165
AQUE,2012,Jan,13.965
AQUE,2012,Feb,12.97
AQUE,2012,Mar,11.736
AQUE,2012,Apr,12.053
AQUE,2012,May,13.425
AQUE,2012,Jun,15.362
AQUE,2012,Jul,15.472
AQUE,2012,Aug,16.875
AQUE,2012,Sep,17.493
AQUE,2012,Oct,17.214
AQUE,2012,Nov,15.502
AQUE,2012,Dec,14.699
AQUE,2013,Jan,12.397
AQUE,2013,Feb,12.576
AQUE,2013,Mar,13.132
AQUE,2013,Apr,12.696
AQUE,2013,May,14.753
AQUE,2013,Jun,16.133
AQUE,2013,Jul,16.46
AQUE,2013,Aug,16.619
AQUE,2013,Sep,16.168
AQUE,2013,Oct,16.712
AQUE,2013,Nov,16.145
AQUE,2013,Dec,14.555
AQUE,2014,Jan,15.209
AQUE,2014,Feb,14.418
AQUE,2014,Mar,14.473
AQUE,2014,Apr,12.462
AQUE,2014,May,13.588
AQUE,2014,Jun,16.611
AQUE,2014,Jul,18.434
AQUE,2014,Aug,17.605
AQUE,2014,Sep,18.022
AQUE,2014,Oct,19.563
AQUE,2014,Nov,18.179
AQUE,2014,Dec,17.416
AQUE,2015,Jan,16.22
AQUE,2015,Feb,16.206
AQUE,2015,Mar,15.873
AQUE,2015,Apr,13.622
AQUE,2015,May,13.603
AQUE,2015,Jun,16.048
AQUE,2015,Jul,17.274
AQUE,2015,Aug,18.889
AQUE,2015,Sep,21.184
AQUE,2015,Oct,19.996
AQUE,2015,Nov,17.033
AQUE,2015,Dec,16.237
AQUE,2016,Jan,14.772
AQUE,2016,Feb,14.886
AQUE,2016,Mar,14.334
AQUE,2016,Apr,13.427
AQUE,2016,May,14.081
AQUE,2016,Jun,15.324
AQUE,2016,Jul,17.471
AQUE,2016,Aug,17.584
AQUE,2016,Sep,17.373
AQUE,2016,Oct,16.253
AQUE,2016,Nov,15.996
AQUE,2016,Dec,14.38
AQUE,2017,Jan,13.822
AQUE,2017,Feb,13.79
AQUE,2017,Mar,13.302
AQUE,2017,Apr,12.189
AQUE,2017,May,13.302
AQUE,2017,Jun,15.584
AQUE,2017,Jul,17.087
AQUE,2017,Aug,18.054
AQUE,2017,Sep,17.353
AQUE,2017,Oct,17.505
AQUE,2018,Jan,14.063
AQUE,2018,Feb,14.06
AQUE,2018,Mar,12.894
AQUE,2018,Apr,12.23
AQUE,2018,May,13.074
AQUE,2018,Jun,16.3
AQUE,2018,Jul,18.003
AQUE,2018,Aug,19.789
AQUE,2018,Sep,18.25
AQUE,2018,Oct,18.475
AQUE,2018,Nov,17.956
AQUE,2018,Dec,15.435
AQUE,2019,Jan,15.039
AQUE,2019,Feb,13.885
AQUE,2019,Mar,13.195
AQUE,2019,Apr,13.098
AQUE,2019,May,13.098
AQUE,2019,Jun,15.37
AQUE,2019,Jul,16.704
AQUE,2019,Aug,17.11
AQUE,2019,Sep,17.869
AQUE,2019,Oct,16.88
AQUE,2019,Nov,16.754
AQUE,2019,Dec,14.994
AQUE,2020,Jan,14.982
AQUE,2020,Feb,14.871
AQUE,2020,Mar,14.773
AQUE,2020,Apr,14.156
AQUE,2020,May,13.681
AQUE,2020,Jun,15.259
AQUE,2020,Jul,15.973
AQUE,2020,Aug,16.535
AQUE,2020,Sep,17.408
AQUE,2020,Oct,18.625
AQUE,2020,Nov,14.515
AQUE,2020,Dec,14.151
AQUE,2021,Jan,13.708
AQUE,2021,Feb,12.631
AQUE,2021,Mar,11.687
AQUE,2021,Apr,12.451
AQUE,2021,May,13.795
AQUE,2021,Jun,15.309
AQUE,2021,Jul,17.562
BULL,2003,Apr,11.571
BULL,2003,May,12.337
BULL,2003,Jun,14.365
BULL,2003,Jul,15.903
BULL,2003,Aug,14.161
BULL,2003,Sep,16.107
BULL,2003,Oct,16.668
BULL,2003,Nov,15.347
BULL,2003,Dec,13.887
BULL,2004,Jan,13.18
BULL,2004,Feb,12.689
BULL,2004,Mar,13.36
BULL,2004,Apr,13.02
BULL,2004,May,12.723
BULL,2004,Jun,14.445
BULL,2004,Jul,15.456
BULL,2004,Aug,16.268
BULL,2004,Sep,17.227
BULL,2004,Oct,17.069
BULL,2004,Nov,15.811
BULL,2004,Dec,14.676
BULL,2005,Jan,14.507
BULL,2005,Feb,14.512
BULL,2005,Mar,13.932
BULL,2005,Apr,11.655
BULL,2005,May,12.286
BULL,2005,Jun,12.687
BULL,2005,Jul,15.182
